It's a Monday in April anda 68-year-old called Anthony is on their phone. They live in a city in London. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel concerned. If you were in their position, what would you enter into the website search bar??|low-fat plant-based proteins
It's a Monday in November anda 69-year-old called Glynis is on their phone. They live in a city in London. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel determined. If you were in their position, what would you enter into the website search bar??|high-protein supplements for weight loss
It's a Tuesday in March anda 70-year-old called Linda is on their phone. They live in a small town in the East Midlands. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel depleted. If you were in their position, what would you enter into the website search bar??|low calorie high fiber snacks
It's a Sunday in September anda 71-year-old called Maureen is on their phone. They live in a city in the South West of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel determined. If you were in their position, what would you enter into the website search bar??|high-protein snacks for diabetics
It's a Thursday in May anda 72-year-old called Hilary is on their phone. They live in a city in North East England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel loving. If you were in their position, what would you enter into the website search bar??|love heart-shaped vitamin D supplement
It's a Saturday in November anda 73-year-old called Lynda is on their phone. They live in a city in London. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel loving. If you were in their position, what would you enter into the website search bar??|protein shake with chocolate flavor
It's a Thursday in February anda 74-year-old called Lynda is on their phone. They live in a city in North West England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel worn out. If you were in their position, what would you enter into the website search bar??|low impact yoga gear for seniors
It's a Monday in October anda 75-year-old called Karen is on their phone. They live in a small town in the West Midlands. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel anxious. If you were in their position, what would you enter into the website search bar??|low-impact yoga exercises for seniors
It's a Saturday in November anda 76-year-old called Jane is on their phone. They live in a town in North East England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel lucky. If you were in their position, what would you enter into the website search bar??|premium collagen supplement for seniors
It's a Tuesday in May anda 77-year-old called Catherine is on their phone. They live in a town in the East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel nervous. If you were in their position, what would you enter into the website search bar??|low-impact yoga gear for beginners
It's a Sunday in November anda 78-year-old called John is on their phone. They live in a small town in the West Midlands. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel anxious. If you were in their position, what would you enter into the website search bar??|low-calorie vegetarian meal kit for beginners
It's a Sunday in April anda 79-year-old called Richard is on their phone. They live in a town in the South East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel refreshed. If you were in their position, what would you enter into the website search bar??|high-protein oatmeal flakes
It's a Monday in November anda 80-year-old called Dorothy is on their phone. They live in a small town in the South East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel perplexed. If you were in their position, what would you enter into the website search bar??|easy-to-wear activewear for older adults
It's a Thursday in September anda 81-year-old called Pauline is on their phone. They live in a small town in the South West of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel lucky. If you were in their position, what would you enter into the website search bar??|high-protein diet supplements for seniors
It's a Friday in September anda 82-year-old called Anthony is on their phone. They live in a city in London. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel helpless. If you were in their position, what would you enter into the website search bar??|easy exercises for seniors with arthritis
It's a Wednesday in January anda 83-year-old called Terence is on their phone. They live in a town in the South East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel determined. If you were in their position, what would you enter into the website search bar??|high-protein vegetarian snack options
It's a Tuesday in December anda 84-year-old called Gordon is on their phone. They live in a village in the South East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel loving. If you were in their position, what would you enter into the website search bar??|protein shakes for heart health
It's a Friday in November anda 85-year-old called Frederick is on their phone. They live in a town in the South East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel exasperated. If you were in their position, what would you enter into the website search bar??|affordable yoga pants for beginners
It's a Monday in January anda 86-year-old called David is on their phone. They live in a town in the South East of England. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel eager. If you were in their position, what would you enter into the website search bar??|high-protein snack bars for elderly
It's a Friday in May anda 87-year-old called Peter is on their phone. They live in a city in London. They are browsing the internet and reach a fitness website that sells a range of protein nutritional products and sports clothing. They feel relaxed. If you were in their position, what would you enter into the website search bar??|low-impact yoga gear
